# Recording Session
# start_time: 1.73215e+12
# end_time: 1.73215e+12
# Format: marker_id,timestamp,tx,ty,tz,qx,qy,qz,qw,confidence
0,1.73215e+12,-0.181489,-0.015975,2.4519,0.79983,-0.184867,-0.53791,0.191698,0.0034548
0,1.73215e+12,-0.142265,0.00184908,2.38727,0.800812,-0.196548,-0.527865,0.203538,0.00363626
0,1.73215e+12,-0.0915629,0.0392757,2.38383,0.802655,-0.197352,-0.527443,0.196471,0.00376264
0,1.73215e+12,-0.0560541,0.0573852,2.36012,0.804624,-0.197255,-0.523844,0.198135,0.00388767
0,1.73215e+12,-0.0180823,0.086194,2.32225,0.807686,-0.198791,-0.51844,0.198359,0.00403995
0,1.73215e+12,-0.00402124,0.105351,2.27815,0.804376,-0.210815,-0.518253,0.199877,0.00399324
0,1.73215e+12,0.0114248,0.148816,2.26848,0.811752,-0.215781,-0.504024,0.201141,0.00390291
0,1.73215e+12,0.0284257,0.162591,2.25396,0.813984,-0.21236,-0.504131,0.19541,0.00403727
0,1.73215e+12,0.0633574,0.161428,2.23819,0.819544,-0.217372,-0.49254,0.196218,0.00400535
0,1.73215e+12,0.0974818,0.153728,2.22867,0.819135,-0.224296,-0.490264,0.195831,0.00392771
0,1.73215e+12,0.16297,0.153901,2.22287,0.822351,-0.216523,-0.48785,0.197128,0.0038626
0,1.73215e+12,0.195636,0.163624,2.19778,0.820985,-0.221259,-0.487035,0.199562,0.00381551
0,1.73215e+12,0.23638,0.161626,2.18652,0.821272,-0.217637,-0.490147,0.194685,0.00383653
0,1.73215e+12,0.25646,0.175166,2.17723,0.823989,-0.218529,-0.484015,0.197525,0.00375786
0,1.73215e+12,0.263359,0.197522,2.13636,0.825523,-0.223559,-0.478944,0.197854,0.00392472
0,1.73215e+12,0.280558,0.221878,2.13937,0.832182,-0.21826,-0.467236,0.203779,0.00385391
0,1.73215e+12,0.314746,0.241974,2.1244,0.835145,-0.220537,-0.457242,0.21172,0.00385013
0,1.73215e+12,0.337451,0.265138,2.10987,0.835697,-0.217762,-0.456579,0.213837,0.00385602
0,1.73215e+12,0.349626,0.274696,2.05818,0.834425,-0.222662,-0.4554,0.216257,0.00393161
0,1.73215e+12,0.360707,0.281599,2.05353,0.839725,-0.213175,-0.447858,0.221,0.00394723
0,1.73215e+12,0.945421,-0.138857,3.64216,0.885578,-0.179721,-0.399297,-0.154962,0.00108131
0,1.73215e+12,0.374613,0.296941,2.02652,0.842388,-0.207607,-0.437434,0.236502,0.00410723
0,1.73215e+12,0.398806,0.304602,2.0176,0.846561,-0.203327,-0.434955,0.229798,0.0040661
0,1.73215e+12,0.44479,0.320912,1.97556,0.848477,0.204793,0.433862,-0.223406,0.00401044
0,1.73215e+12,0.477343,0.344565,1.92367,0.852506,0.211775,0.428886,-0.210814,0.00401461
0,1.73215e+12,0.479199,0.356299,1.87994,0.854649,0.213512,0.423735,-0.210798,0.00420189
0,1.73215e+12,0.473915,0.324744,1.85185,0.860702,0.216613,0.416891,-0.196145,0.00436843
0,1.73215e+12,0.456124,0.302815,1.83639,0.87128,0.21005,0.414963,-0.156706,0.00465966
0,1.73215e+12,0.428878,0.32002,1.80635,0.881297,0.208898,0.408481,-0.11323,0.00481518
0,1.73215e+12,0.396066,0.333504,1.79273,0.888156,0.214542,0.397808,-0.0830574,0.00496976
0,1.73215e+12,0.370679,0.321792,1.77262,0.89084,0.22527,0.388609,-0.0681242,0.00511029
0,1.73215e+12,0.337157,0.299089,1.73822,0.899669,0.225228,0.373811,-0.0115815,0.00543249
0,1.73215e+12,0.323045,0.306252,1.74265,0.901545,0.223288,0.370372,0.0135375,0.00550148
0,1.73215e+12,0.282419,0.300042,1.76473,0.904494,0.221022,0.361626,0.047615,0.00547846
0,1.73215e+12,0.220596,0.30948,1.78681,0.909535,0.21087,0.343511,0.101392,0.00564713
0,1.73215e+12,0.113249,0.348169,1.77475,0.909455,0.214335,0.308938,0.177508,0.00565257
0,1.73215e+12,0.0786053,0.356432,1.76747,0.909797,0.207458,0.30017,0.197807,0.00575649
0,1.73215e+12,0.0550145,0.341358,1.75446,0.908734,0.213059,0.280971,0.223302,0.00572687
0,1.73215e+12,0.0575043,0.324055,1.7454,0.909418,0.202794,0.27327,0.239078,0.00586083
0,1.73215e+12,0.0727681,0.326895,1.75077,0.909803,0.199495,0.262241,0.25237,0.00573539
0,1.73215e+12,0.096258,0.364258,1.77193,0.910543,0.199864,0.238993,0.271749,0.00549106
0,1.73215e+12,0.111021,0.400158,1.7709,0.905912,0.201738,0.229667,0.293049,0.0052732
0,1.73215e+12,0.105808,0.415992,1.72389,0.897933,0.202297,0.212179,0.328287,0.00528051
0,1.73215e+12,0.0848098,0.434005,1.72031,0.899755,0.195391,0.188278,0.341781,0.00521778
0,1.73215e+12,0.0653911,0.429508,1.69399,0.889595,0.187084,0.174339,0.378451,0.00519439
0,1.73215e+12,0.0341806,0.432638,1.7097,0.894143,0.175656,0.152514,0.382614,0.00518065
0,1.73215e+12,-0.0149614,0.43612,1.70072,0.891296,0.168437,0.130699,0.400173,0.00529751
0,1.73215e+12,-0.0433267,0.416693,1.68345,0.882203,0.150349,0.125265,0.428277,0.00519342
0,1.73215e+12,-0.0535537,0.457957,1.70083,0.881755,0.135486,0.114818,0.437,0.00499011
0,1.73215e+12,-0.0439446,0.50582,1.68852,0.875089,0.138611,0.100302,0.45271,0.00474974
0,1.73215e+12,-0.136965,0.52642,1.63474,0.84346,0.104108,0.0522768,0.524408,0.00431004
0,1.73215e+12,-0.133162,0.523948,1.65102,0.844212,0.107035,0.0527181,0.522561,0.0043308
0,1.73215e+12,-0.13491,0.495319,1.65179,0.838176,0.104679,0.0579663,0.532112,0.0043307
0,1.73215e+12,-0.130811,0.475093,1.67628,0.846023,0.111759,0.0609915,0.517722,0.00437607
0,1.73215e+12,-0.127343,0.466049,1.69417,0.846595,0.108072,0.0593169,0.517763,0.00436319
0,1.73215e+12,-0.128274,0.446184,1.68931,0.842078,0.103732,0.0614792,0.525703,0.00427575
0,1.73215e+12,-0.136168,0.454674,1.69954,0.84482,0.107241,0.0629903,0.520395,0.00427331
0,1.73215e+12,-0.146538,0.464209,1.70669,0.84183,0.101024,0.0623875,0.526521,0.00418508
0,1.73215e+12,-0.150158,0.46571,1.70722,0.839435,0.10134,0.0600564,0.530539,0.00412177
0,1.73215e+12,-0.152517,0.491495,1.72386,0.836484,0.102273,0.0619458,0.534787,0.00397337
